year;Mes;Día;value
2020;Oct;24;
2020;Oct;25;
2020;Oct;26;777.72
2020;Oct;27;779.57
2020;Oct;28;772.05
2020;Oct;29;775.56
2020;Oct;30;770.45
2020;Oct;31;
2019;Nov;1;
2019;Nov;2;
2019;Nov;3;
2019;Nov;4;735.05
2019;Nov;5;736.66
2019;Nov;6;745.85
2019;Nov;7;743.65
2019;Nov;8;740.23
2019;Nov;9;
2019;Nov;10;
2019;Nov;11;746.23
2019;Nov;12;756.08
2019;Nov;13;783.72
2019;Nov;14;794.51
2019;Nov;15;801.83
2019;Nov;16;
2019;Nov;17;
2019;Nov;18;782.82
2019;Nov;19;773.81
2019;Nov;20;782.71
2019;Nov;21;797.17
2019;Nov;22;795.14
2019;Nov;23;
2019;Nov;24;
2019;Nov;25;795.94
2019;Nov;26;791.16
2019;Nov;27;793.49
2019;Nov;28;806.3
2019;Nov;29;828.25
2019;Nov;30;
2019;Nov;31;
2020;Nov;1;
2020;Nov;2;771.92
2020;Nov;3;769.17
2020;Nov;4;758.53
2020;Nov;5;757.16
2020;Nov;6;752.01
2020;Nov;7;
2020;Nov;8;
2020;Nov;9;759.25
2020;Nov;10;753.75
2020;Nov;11;760.9
2020;Nov;12;757.42
2020;Nov;13;757.43
2020;Nov;14;
2020;Nov;15;
2020;Nov;16;766.7
2020;Nov;17;767.86
2020;Nov;18;767.05
2020;Nov;19;758.1
2020;Nov;20;758.62
2020;Nov;21;
2020;Nov;22;
2020;Nov;23;761.55
2020;Nov;24;765.96
2020;Nov;25;772.83
2020;Nov;26;771.68
2020;Nov;27;766.0
2020;Nov;28;
2020;Nov;29;
2020;Nov;30;766.69
2020;Nov;31;
2019;Dic;1;
2019;Dic;2;812.13
2019;Dic;3;804.29
2019;Dic;4;802.44
2019;Dic;5;796.75
2019;Dic;6;784.25
2019;Dic;7;
2019;Dic;8;
2019;Dic;9;779.04
2019;Dic;10;771.29
2019;Dic;11;778.14
2019;Dic;12;772.93
2019;Dic;13;768.69
2019;Dic;14;
2019;Dic;15;
2019;Dic;16;766.76
2019;Dic;17;762.83
2019;Dic;18;756.95
2019;Dic;19;752.3
2019;Dic;20;752.6
2019;Dic;21;
2019;Dic;22;
2019;Dic;23;749.83
2019;Dic;24;754.27
2019;Dic;25;
2019;Dic;26;751.04
2019;Dic;27;746.66
2019;Dic;28;
2019;Dic;29;
2019;Dic;30;744.62
2019;Dic;31;
2020;Dic;1;767.29
2020;Dic;2;760.16
2020;Dic;3;755.34
2020;Dic;4;752.03
2020;Dic;5;
2020;Dic;6;
2020;Dic;7;747.61
2020;Dic;8;
2020;Dic;9;744.82
2020;Dic;10;739.45
2020;Dic;11;738.17
2020;Dic;12;
2020;Dic;13;
2020;Dic;14;733.55
2020;Dic;15;731.58
2020;Dic;16;734.23
2020;Dic;17;735.09
2020;Dic;18;723.44
2020;Dic;19;
2020;Dic;20;
2020;Dic;21;723.85
2020;Dic;22;730.7
2020;Dic;23;728.96
2020;Dic;24;716.25
2020;Dic;25;
2020;Dic;26;
2020;Dic;27;
2020;Dic;28;710.26
2020;Dic;29;710.64
2020;Dic;30;711.24
2020;Dic;31;
